1155: T4_ARTEFACT_2H_ARCANESTAFF_HELL                                  : Adept's Occult Orb
1727: T6_ARTEFACT_HEAD_LEATHER_AVALON                                  : Master's Augured Padding
1728: T7_ARTEFACT_HEAD_LEATHER_AVALON                                  : Grandmaster's Augured Padding
1729: T8_ARTEFACT_HEAD_LEATHER_AVALON                                  : Elder's Augured Padding
1730: T4_ARTEFACT_ARMOR_LEATHER_AVALON                                 : Adept's Augured Sash
1731: T5_ARTEFACT_ARMOR_LEATHER_AVALON                                 : Expert's Augured Sash
1732: T6_ARTEFACT_ARMOR_LEATHER_AVALON                                 : Master's Augured Sash
1733: T7_ARTEFACT_ARMOR_LEATHER_AVALON                                 : Grandmaster's Augured Sash
1734: T8_ARTEFACT_ARMOR_LEATHER_AVALON                                 : Elder's Augured Sash
1735: T4_ARTEFACT_SHOES_LEATHER_AVALON                                 : Adept's Augured Fasteners
1736: T5_ARTEFACT_SHOES_LEATHER_AVALON                                 : Expert's Augured Fasteners
1737: T6_ARTEFACT_SHOES_LEATHER_AVALON                                 : Master's Augured Fasteners
1738: T7_ARTEFACT_SHOES_LEATHER_AVALON                                 : Grandmaster's Augured Fasteners
1739: T8_ARTEFACT_SHOES_LEATHER_AVALON                                 : Elder's Augured Fasteners
1740: T4_ARTEFACT_ARMOR_LEATHER_FEY                                    : Adept's Untarnished Griffin Feathers
1741: T5_ARTEFACT_ARMOR_LEATHER_FEY                                    : Expert's Untarnished Griffin Feathers
1742: T6_ARTEFACT_ARMOR_LEATHER_FEY                                    : Master's Untarnished Griffin Feathers
1743: T7_ARTEFACT_ARMOR_LEATHER_FEY                                    : Grandmaster's Untarnished Griffin Feathers
1744: T8_ARTEFACT_ARMOR_LEATHER_FEY                                    : Elder's Untarnished Griffin Feathers
1745: T4_ARTEFACT_HEAD_LEATHER_FEY                                     : Adept's Flawless Griffin Beak
1746: T5_ARTEFACT_HEAD_LEATHER_FEY                                     : Expert's Flawless Griffin Beak
1747: T6_ARTEFACT_HEAD_LEATHER_FEY                                     : Master's Flawless Griffin Beak
1748: T7_ARTEFACT_HEAD_LEATHER_FEY                                     : Grandmaster's Flawless Griffin Beak
1749: T8_ARTEFACT_HEAD_LEATHER_FEY                                     : Elder's Flawless Griffin Beak
1750: T4_ARTEFACT_SHOES_LEATHER_FEY                                    : Adept's Griffin Underfur
1751: T5_ARTEFACT_SHOES_LEATHER_FEY                                    : Expert's Griffin Underfur
1752: T6_ARTEFACT_SHOES_LEATHER_FEY                                    : Master's Griffin Underfur
1753: T7_ARTEFACT_SHOES_LEATHER_FEY                                    : Grandmaster's Griffin Underfur
1754: T8_ARTEFACT_SHOES_LEATHER_FEY                                    : Elder's Griffin Underfur
1755: T4_ARTEFACT_HEAD_CLOTH_KEEPER                                    : Adept's Druidic Preserved Beak
1756: T5_ARTEFACT_HEAD_CLOTH_KEEPER                                    : Expert's Druidic Preserved Beak
1757: T6_ARTEFACT_HEAD_CLOTH_KEEPER                                    : Master's Druidic Preserved Beak
1758: T7_ARTEFACT_HEAD_CLOTH_KEEPER                                    : Grandmaster's Druidic Preserved Beak
1759: T8_ARTEFACT_HEAD_CLOTH_KEEPER                                    : Elder's Druidic Preserved Beak
1760: T4_ARTEFACT_ARMOR_CLOTH_KEEPER                                   : Adept's Druidic Feathers
1761: T5_ARTEFACT_ARMOR_CLOTH_KEEPER                                   : Expert's Druidic Feathers
1762: T6_ARTEFACT_ARMOR_CLOTH_KEEPER                                   : Master's Druidic Feathers
1763: T7_ARTEFACT_ARMOR_CLOTH_KEEPER                                   : Grandmaster's Druidic Feathers
1764: T8_ARTEFACT_ARMOR_CLOTH_KEEPER                                   : Elder's Druidic Feathers
1765: T4_ARTEFACT_SHOES_CLOTH_KEEPER                                   : Adept's Druidic Bindings
1766: T5_ARTEFACT_SHOES_CLOTH_KEEPER                                   : Expert's Druidic Bindings
1767: T6_ARTEFACT_SHOES_CLOTH_KEEPER                                   : Master's Druidic Bindings
1768: T7_ARTEFACT_SHOES_CLOTH_KEEPER                                   : Grandmaster's Druidic Bindings
1769: T8_ARTEFACT_SHOES_CLOTH_KEEPER                                   : Elder's Druidic Bindings
1770: T4_ARTEFACT_HEAD_CLOTH_HELL                                      : Adept's Infernal Cloth Visor
1771: T5_ARTEFACT_HEAD_CLOTH_HELL                                      : Expert's Infernal Cloth Visor
1772: T6_ARTEFACT_HEAD_CLOTH_HELL                                      : Master's Infernal Cloth Visor
1773: T7_ARTEFACT_HEAD_CLOTH_HELL                                      : Grandmaster's Infernal Cloth Visor
1774: T8_ARTEFACT_HEAD_CLOTH_HELL                                      : Elder's Infernal Cloth Visor
1775: T4_ARTEFACT_ARMOR_CLOTH_HELL                                     : Adept's Infernal Cloth Folds
1776: T5_ARTEFACT_ARMOR_CLOTH_HELL                                     : Expert's Infernal Cloth Folds
1777: T6_ARTEFACT_ARMOR_CLOTH_HELL                                     : Master's Infernal Cloth Folds
1778: T7_ARTEFACT_ARMOR_CLOTH_HELL                                     : Grandmaster's Infernal Cloth Folds
1779: T8_ARTEFACT_ARMOR_CLOTH_HELL                                     : Elder's Infernal Cloth Folds
1780: T4_ARTEFACT_SHOES_CLOTH_HELL                                     : Adept's Infernal Cloth Bindings
1781: T5_ARTEFACT_SHOES_CLOTH_HELL                                     : Expert's Infernal Cloth Bindings
1782: T6_ARTEFACT_SHOES_CLOTH_HELL                                     : Master's Infernal Cloth Bindings
1783: T7_ARTEFACT_SHOES_CLOTH_HELL                                     : Grandmaster's Infernal Cloth Bindings
1784: T8_ARTEFACT_SHOES_CLOTH_HELL                                     : Elder's Infernal Cloth Bindings
1785: T4_ARTEFACT_HEAD_CLOTH_MORGANA                                   : Adept's Alluring Padding
1786: T5_ARTEFACT_HEAD_CLOTH_MORGANA                                   : Expert's Alluring Padding
1787: T6_ARTEFACT_HEAD_CLOTH_MORGANA                                   : Master's Alluring Padding
1788: T7_ARTEFACT_HEAD_CLOTH_MORGANA                                   : Grandmaster's Alluring Padding
1789: T8_ARTEFACT_HEAD_CLOTH_MORGANA                                   : Elder's Alluring Padding
1790: T4_ARTEFACT_ARMOR_CLOTH_MORGANA                                  : Adept's Alluring Amulet
1791: T5_ARTEFACT_ARMOR_CLOTH_MORGANA                                  : Expert's Alluring Amulet
1792: T6_ARTEFACT_ARMOR_CLOTH_MORGANA                                  : Master's Alluring Amulet
1793: T7_ARTEFACT_ARMOR_CLOTH_MORGANA                                  : Grandmaster's Alluring Amulet
1794: T8_ARTEFACT_ARMOR_CLOTH_MORGANA                                  : Elder's Alluring Amulet
1795: T4_ARTEFACT_SHOES_CLOTH_MORGANA                                  : Adept's Alluring Bindings
1796: T5_ARTEFACT_SHOES_CLOTH_MORGANA                                  : Expert's Alluring Bindings
1797: T6_ARTEFACT_SHOES_CLOTH_MORGANA                                  : Master's Alluring Bindings
1798: T7_ARTEFACT_SHOES_CLOTH_MORGANA                                  : Grandmaster's Alluring Bindings
1799: T8_ARTEFACT_SHOES_CLOTH_MORGANA                                  : Elder's Alluring Bindings
1800: T4_ARTEFACT_HEAD_CLOTH_AVALON                                    : Adept's Sanctified Mask
1801: T5_ARTEFACT_HEAD_CLOTH_AVALON                                    : Expert's Sanctified Mask
1802: T6_ARTEFACT_HEAD_CLOTH_AVALON                                    : Master's Sanctified Mask
1803: T7_ARTEFACT_HEAD_CLOTH_AVALON                                    : Grandmaster's Sanctified Mask
1804: T8_ARTEFACT_HEAD_CLOTH_AVALON                                    : Elder's Sanctified Mask
1805: T4_ARTEFACT_ARMOR_CLOTH_AVALON                                   : Adept's Sanctified Belt
1806: T5_ARTEFACT_ARMOR_CLOTH_AVALON                                   : Expert's Sanctified Belt
1807: T6_ARTEFACT_ARMOR_CLOTH_AVALON                                   : Master's Sanctified Belt
1808: T7_ARTEFACT_ARMOR_CLOTH_AVALON                                   : Grandmaster's Sanctified Belt
1809: T8_ARTEFACT_ARMOR_CLOTH_AVALON                                   : Elder's Sanctified Belt
1810: T4_ARTEFACT_SHOES_CLOTH_AVALON                                   : Adept's Sanctified Bindings
1811: T5_ARTEFACT_SHOES_CLOTH_AVALON                                   : Expert's Sanctified Bindings
1812: T6_ARTEFACT_SHOES_CLOTH_AVALON                                   : Master's Sanctified Bindings
1813: T7_ARTEFACT_SHOES_CLOTH_AVALON                                   : Grandmaster's Sanctified Bindings
1814: T8_ARTEFACT_SHOES_CLOTH_AVALON                                   : Elder's Sanctified Bindings
1815: T4_ARTEFACT_ARMOR_CLOTH_FEY                                      : Adept's Fey Dorsal Wing
1816: T5_ARTEFACT_ARMOR_CLOTH_FEY                                      : Expert's Fey Dorsal Wing
1817: T6_ARTEFACT_ARMOR_CLOTH_FEY                                      : Master's Fey Dorsal Wing
1818: T7_ARTEFACT_ARMOR_CLOTH_FEY                                      : Grandmaster's Fey Dorsal Wing
1819: T8_ARTEFACT_ARMOR_CLOTH_FEY                                      : Elder's Fey Dorsal Wing
1820: T4_ARTEFACT_HEAD_CLOTH_FEY                                       : Adept's Intact Fey Fibula
1821: T5_ARTEFACT_HEAD_CLOTH_FEY                                       : Expert's Intact Fey Fibula
1822: T6_ARTEFACT_HEAD_CLOTH_FEY                                       : Master's Intact Fey Fibula
1823: T7_ARTEFACT_HEAD_CLOTH_FEY                                       : Grandmaster's Intact Fey Fibula
1824: T8_ARTEFACT_HEAD_CLOTH_FEY                                       : Elder's Intact Fey Fibula
1825: T4_ARTEFACT_SHOES_CLOTH_FEY                                      : Adept's Fey Dragonscales
1826: T5_ARTEFACT_SHOES_CLOTH_FEY                                      : Expert's Fey Dragonscales
1827: T6_ARTEFACT_SHOES_CLOTH_FEY                                      : Master's Fey Dragonscales
1828: T7_ARTEFACT_SHOES_CLOTH_FEY                                      : Grandmaster's Fey Dragonscales
1829: T8_ARTEFACT_SHOES_CLOTH_FEY                                      : Elder's Fey Dragonscales
1830: T4_ARTEFACT_TOKEN_FAVOR_1                                        : Adept's Crystallized Spirit
1831: T5_ARTEFACT_TOKEN_FAVOR_1                                        : Expert's Crystallized Spirit
1832: T6_ARTEFACT_TOKEN_FAVOR_1                                        : Master's Crystallized Spirit
1833: T7_ARTEFACT_TOKEN_FAVOR_1                                        : Grandmaster's Crystallized Spirit
1834: T8_ARTEFACT_TOKEN_FAVOR_1                                        : Elder's Crystallized Spirit
1835: T4_ARTEFACT_TOKEN_FAVOR_2                                        : Adept's Crystallized Dread
1836: T5_ARTEFACT_TOKEN_FAVOR_2                                        : Expert's Crystallized Dread
1837: T6_ARTEFACT_TOKEN_FAVOR_2                                        : Master's Crystallized Dread
1838: T7_ARTEFACT_TOKEN_FAVOR_2                                        : Grandmaster's Crystallized Dread
1839: T8_ARTEFACT_TOKEN_FAVOR_2                                        : Elder's Crystallized Dread
1840: T4_ARTEFACT_TOKEN_FAVOR_3                                        : Adept's Crystallized Magic
1841: T5_ARTEFACT_TOKEN_FAVOR_3                                        : Expert's Crystallized Magic
1842: T6_ARTEFACT_TOKEN_FAVOR_3                                        : Master's Crystallized Magic
1843: T7_ARTEFACT_TOKEN_FAVOR_3                                        : Grandmaster's Crystallized Magic
1844: T8_ARTEFACT_TOKEN_FAVOR_3                                        : Elder's Crystallized Magic
1845: T4_ARTEFACT_TOKEN_FAVOR_4                                        : Adept's Crystallized Divinity
1846: T5_ARTEFACT_TOKEN_FAVOR_4                                        : Expert's Crystallized Divinity
1847: T6_ARTEFACT_TOKEN_FAVOR_4                                        : Master's Crystallized Divinity
1848: T7_ARTEFACT_TOKEN_FAVOR_4                                        : Grandmaster's Crystallized Divinity
1849: T8_ARTEFACT_TOKEN_FAVOR_4                                        : Elder's Crystallized Divinity
1850: T3_ALCHEMY_RARE_PANTHER                                          : Rugged Shadow Claws
1851: T5_ALCHEMY_RARE_PANTHER                                          : Fine Shadow Claws
1852: T7_ALCHEMY_RARE_PANTHER                                          : Excellent Shadow Claws
1853: T3_ALCHEMY_RARE_ENT                                              : Rugged Sylvian Root
1854: T5_ALCHEMY_RARE_ENT                                              : Fine Sylvian Root
1855: T7_ALCHEMY_RARE_ENT                                              : Excellent Sylvian Root
1856: T3_ALCHEMY_RARE_DIREBEAR                                         : Rugged Spirit Paws
1857: T5_ALCHEMY_RARE_DIREBEAR                                         : Fine Spirit Paws
1858: T7_ALCHEMY_RARE_DIREBEAR                                         : Excellent Spirit Paws
1859: T3_ALCHEMY_RARE_WEREWOLF                                         : Rugged Werewolf Fangs
1860: T5_ALCHEMY_RARE_WEREWOLF                                         : Fine Werewolf Fangs
1861: T7_ALCHEMY_RARE_WEREWOLF                                         : Excellent Werewolf Fangs
1862: T3_ALCHEMY_RARE_IMP                                              : Rugged Imp's Horn
1863: T5_ALCHEMY_RARE_IMP                                              : Fine Imp's Horn
1864: T7_ALCHEMY_RARE_IMP                                              : Excellent Imp's Horn
1865: T3_ALCHEMY_RARE_ELEMENTAL                                        : Rugged Runestone Tooth
1866: T5_ALCHEMY_RARE_ELEMENTAL                                        : Fine Runestone Tooth
1867: T7_ALCHEMY_RARE_ELEMENTAL                                        : Excellent Runestone Tooth
1868: T3_ALCHEMY_RARE_EAGLE                                            : Rugged Dawnfeather
1869: T5_ALCHEMY_RARE_EAGLE                                            : Fine Dawnfeather
1870: T7_ALCHEMY_RARE_EAGLE                                            : Excellent Dawnfeather
1871: T1_ALCHEMY_COMMON                                                : Rare Animal Remains
1872: T1_ALCHEMY_EXTRACT_LEVEL1                                        : Basic Arcane Extract
1873: T1_ALCHEMY_EXTRACT_LEVEL2                                        : Refined Arcane Extract
1874: T1_ALCHEMY_EXTRACT_LEVEL3                                        : Pure Arcane Extract
1875: T4_ESSENCE_POTION                                                : Adept's Arcane Essence
1876: T4_ESSENCE                                                       : Adept's Faded Essence
